Nathan CHEN,275.88,US,2017
Adam RIPPON,266.45,US,2017
Sergei VORONOV,257.49,US,2017
Boyang JIN,246.03,US,2017
Han YAN,228.33,US,2017
Ross MINER,219.62,US,2017
Takahito MURA,212.77,US,2017
Liam FIRUS,210.83,US,2017
Kevin REYNOLDS,204.05,US,2017
Roman SADOVSKY,200.1,US,2017
Shoma UNO,301.1,CA,2017
Jason BROWN,261.14,CA,2017
Alexander SAMARIN,250.06,CA,2017
Patrick CHAN,245.7,CA,2017
Jorik HENDRICKX,237.31,CA,2017
Michal BREZINA,237.04,CA,2017
Nicolas NADEAU,229.43,CA,2017
Keegan MESSING,217.75,CA,2017
Jun Hwan CHA,210.32,CA,2017
Paul FENTZ,201.6,CA,2017
Brendan KERRY,201.56,CA,2017
Takahito MURA,186.66,CA,2017
Javier FERNANDEZ,283.71,FR,2017
Shoma UNO,273.32,FR,2017
Misha GE,258.34,FR,2017
Alexander SAMARIN,253.13,FR,2017
Alexei BYCHENKO,247.44,FR,2017
Moris KVITELASHVILI,240.5,FR,2017
Max AARON,237.2,FR,2017
Denis TEN,228.57,FR,2017
Vincent ZHOU,222.21,FR,2017
Kevin AYMOZ,220.43,FR,2017
Romain PONSART,198.12,FR,2017
Nathan CHEN,293.79,RU,2017
Yuzuru HANYU,290.77,RU,2017
Mikhail KOLYADA,271.06,RU,2017
Misha GE,255.33,RU,2017
Moris KVITELASHVILI,250.26,RU,2017
Dmitri ALIEV,239.61,RU,2017
Nam NGUYEN,238.45,RU,2017
Deniss VASILJEVS,227.53,RU,2017
Denis TEN,214.35,RU,2017
Andrei LAZUKIN,212.14,RU,2017
Grant HOCHSTEIN,206.09,RU,2017
Daniel SAMOHIN,183.79,RU,2017
Mikhail KOLYADA,279.38,CN,2017
Boyang JIN,264.48,CN,2017
Max AARON,259.69,CN,2017
Vincent ZHOU,256.66,CN,2017
Han YAN,254.61,CN,2017
Javier FERNANDEZ,253.06,CN,2017
Keiji TANAKA,247.17,CN,2017
Kevin REYNOLDS,226.5,CN,2017
Grant HOCHSTEIN,216.44,CN,2017
Alexander MAJOROV,186.04,CN,2017
Alexander PETROV,186.02,CN,2017
He ZHANG,167.58,CN,2017
Sergei VORONOV,271.12,JP,2017
Adam RIPPON,261.99,JP,2017
Alexei BYCHENKO,252.07,JP,2017
Jason BROWN,245.95,JP,2017
Keegan MESSING,235.8,JP,2017
Deniss VASILJEVS,234.8,JP,2017
Kazuki TOMONO,231.93,JP,2017
Dmitri ALIEV,223.45,JP,2017
Michal BREZINA,220.45,JP,2017
Nam NGUYEN,214.51,JP,2017
Hiroaki SATO,199.2,JP,2017
Javier FERNANDEZ,295.55,EU,2017
Dmitri ALIEV,274.06,EU,2017
Mikhail KOLYADA,258.9,EU,2017
Deniss VASILJEVS,243.52,EU,2017
Alexei BYCHENKO,238.44,EU,2017
Alexander SAMARIN,229.81,EU,2017
Alexander MAJOROV,225.86,EU,2017
Michal BREZINA,225.2,EU,2017
Matteo RIZZO,219.43,EU,2017
Jorik HENDRICKX,218.17,EU,2017
Chafik BESSEGHIER,211.17,EU,2017
Moris KVITELASHVILI,210.47,EU,2017
Phillip HARRIS,208.22,EU,2017
Romain PONSART,200.72,EU,2017
Slavik HAYRAPETYAN,196.63,EU,2017
Paul FENTZ,194.97,EU,2017
Irakli MAYSURADZE,191.22,EU,2017
Stephane WALKER,185.41,EU,2017
Valtter VIRTANEN,181.77,EU,2017
Felipe MONTOYA,181.72,EU,2017
Daniel Albert NAURITS,176.1,EU,2017
Sondre ODDVOLL BOE,170.64,EU,2017
Burak DEMIRBOGA,167.22,EU,2017
Igor REZNICHENKO,165.65,EU,2017
Boyang JIN,300.95,4C,2017
Shoma UNO,297.94,4C,2017
Jason BROWN,269.22,4C,2017
Keiji TANAKA,260.31,4C,2017
Max AARON,255.45,4C,2017
Misha GE,248.96,4C,2017
Kevin REYNOLDS,241.5,4C,2017
Elladj BALDE,238.2,4C,2017
Nam NGUYEN,237.52,4C,2017
Han YAN,227.93,4C,2017
Grant HOCHSTEIN,226.39,4C,2017
Takahito MURA,225.41,4C,2017
Brendan KERRY,219.95,4C,2017
June Hyoung LEE,211.86,4C,2017
Denis TEN,210.82,4C,2017
Julian Zhi Jie YEE,197.68,4C,2017
Chih-I TSAO,195.21,4C,2017
Donovan CARRILLO,185.91,4C,2017
He ZHANG,184.82,4C,2017
Geon Hyeong AN,180.26,4C,2017
Andrew DODDS,177.81,4C,2017
Sihyeong LEE,177.07,4C,2017
Abzal RAKIMGALIEV,175.58,4C,2017
Leslie Man Cheuk IP,150.23,4C,2017
Nathan CHEN,321.4,WR,2017
Shoma UNO,273.77,WR,2017
Mikhail KOLYADA,272.32,WR,2017
Alexei BYCHENKO,258.28,WR,2017
Kazuki TOMONO,256.11,WR,2017
Deniss VASILJEVS,254.86,WR,2017
Dmitri ALIEV,252.3,WR,2017
Keegan MESSING,252.3,WR,2017
Misha GE,249.57,WR,2017
Michal BREZINA,243.99,WR,2017
Max AARON,241.49,WR,2017
Alexander MAJOROV,237.79,WR,2017
Keiji TANAKA,236.66,WR,2017
Vincent ZHOU,235.24,WR,2017
Paul FENTZ,230.92,WR,2017
Romain PONSART,229.2,WR,2017
Matteo RIZZO,225.44,WR,2017
Brendan KERRY,223.85,WR,2017
Boyang JIN,223.41,WR,2017
Daniel SAMOHIN,214.01,WR,2017
Julian Zhi Jie YEE,209.03,WR,2017
Donovan CARRILLO,200.76,WR,2017
Slavik HAYRAPETYAN,199.72,WR,2017
Phillip HARRIS,187.69,WR,2017
