,0,1,2,3,4
"HANYU, FERNANDEZ",-1.5848993653199384,2.1338381899753283,-0.2933800027977731,1.2828665198447509,1.2724548336779606
"HANYU, TANAKA",0.6973290202039429,-0.2673343240616529,1.283265597030374,1.2211544495811748,2.1049662499541864
"HANYU, GE",-1.4502619083558663,1.2951569426927374,1.2868409324442087,2.0719265767598607,-0.2712754375571438
"HANYU, MAJOROV",-0.008989180732686619,1.2864749253018928,2.1131492946001806,-0.35808649273908744,1.376974390663203
"FERNANDEZ, TANAKA",2.282228385523881,-2.4011725140369813,1.576645599828147,-0.06171207026357617,0.8325114162762258
"FERNANDEZ, GE",0.13463745696407226,-0.8386812472825909,1.5802209352419818,0.7890600569151096,-1.5437302712351042
"FERNANDEZ, MAJOROV",1.5759101845872518,-0.8473632646734356,2.406529297397954,-1.6409530125838383,0.10451955698524257
"TANAKA, GE",-2.147590928559809,1.5624912667543904,0.0035753354138348126,0.8507721271786858,-2.37624168751133
"TANAKA, MAJOROV",-0.7063182009366296,1.5538092493635456,0.829883697569807,-1.5792409423202622,-0.7279918592909833
"GE, MAJOROV",1.4412727276231796,-0.008682017390844676,0.8263083621559721,-2.4300130694989477,1.6482498282203468
